,Emotion,Text,Clean_Text
2335,joy," Did she ? That ’ s great . However , if we have too many children , that will have a bad effect on the enviroment . ", ’ great   children  bad effect enviroment 
2336,joy,Tomorrow is going to be a really long day. #cantwait,Tomorrow going long day #cantwait
2337,joy,@morganpabbott &quot;JUDAH'S BEEN MATCHED!!! JUDAH HAS A FAMILY!!!!!!! #praise I'm literally jumping and crying with excitement&quot; #BAWLING,  quotJUDAHS MATCHED JUDAH FAMILY #praise Im literally jumping crying excitementquot #BAWLING
2338,joy,my night was perfect ❤ now bedtime... work in 2 hours... ,night perfect ❤ bedtime work 2 hours
2339,anger,"With the job appointments committee when the headmaster in charge explained that a male teacher was more suitable for the particular post.  I had more years of service than the male teacher, but this was not taken into consideration.  I could have been given a less attractive job if things had gone the way the headmaster wanted.",job appointments committee headmaster charge explained male teacher suitable particular post years service male teacher taken consideration given attractive job things gone way headmaster wanted
2340,sadness,reading hopeless romantic blogs with @_HammE makes me realise how much   I need a boyfriend... ,reading hopeless romantic blogs   makes realise need boyfriend
2341,anger, You ought to have worked harder then you wouldn ’ t have failed your exams . You have to take a job and study . ,ought worked harder ’ failed exams  job study 
2342,joy,"i just love being wide awake knowing i have to get up early for school, ",love wide awake knowing early school
2343,joy,It's like  in here... a solid hour of @MikeCleary2 and @kyletravis09 talking sports... ,like here solid hour     talking sports
2344,surprise,;3 Big Song Coming Peeps! #Surprise!,3 Big Song Coming Peeps #Surprise
2345,fear,"When riding in a very fastly-driven car on a lose metal road at a very late hour - no other cars on road, and driver was taking corners very sharply. I felt afraid - because if an accident happened, the area was very isolated. Also, I feared for driver, after I was dropped off - would he make it home safely.",riding fastlydriven car lose metal road late hour  cars road driver taking corners sharply felt afraid  accident happened area isolated Also feared driver dropped  home safely
2346,fear,When I was six years old we were on holiday in France. There was very heavy weather then.,years old holiday France heavy weather then
2347,sadness,"After studying a lot for my H.S.C exams, I could not make it to the medical stream and I felt sad about this.",studying lot HSC exams medical stream felt sad this
2348,joy,"With a wide , delighted smile , because she had n't really expected ever to see him again , she teased , ` Are you following me ? "" ",wide  delighted smile  nt expected  teased   following  
2349,sadness,I guess I should be thankful I even have a job but not being able to eat with my family doesn't make me thankful for anything :/ ,guess thankful job able eat family thankful :/
2350,sadness,@sleepnomorenyc @lily_roo I would LOVE to see!! Desperate to see....alas no tickets available this weekend....:(,    LOVE see Desperate seealas tickets available weekend:(
2351,neutral,What upsets you ? ,upsets 
2352,sadness,A grief-stricken Mr Ellis said yesterday : ` It 's a nightmare . ,griefstricken Mr Ellis said yesterday :  s nightmare 
2353,sadness,"I felt so desolate , and so angry . "" ",felt desolate  angry  
2354,joy,One Of My Family Members Live For Drama ,Family Members Live Drama
2355,fear,"It's ok to be afraid, as long as your  out ways your  :)",ok afraid long ways :)
2356,neutral,:) @thomestifanos security is a very juicy business. ,:)   security juicy business
2357,fear,"For Williamson , only soldiers who had fought in the war , and who understood the horrors of modern conflict , could save Europe from further disaster . ",Williamson  soldiers fought war  understood horrors modern conflict  save Europe disaster 
2358,anger,A very close friend of mine was refused entrance to the medical school.  Her grades were very good and she should not have been left out.  Biased judgment !,close friend refused entrance medical school grades good left out Biased judgment 
2359,fear,I always let em take dat walk without running after them but why when i want em too stay ,let em dat walk running want em stay
2360,joy,i will be the last fucking person on this campus thanks to my copy editing/layout class that ends at 710 ,fucking person campus thanks copy editing/layout class ends 710
2361,surprise,"and now.. THE CONFESSION of the year... Until it reached its final 20 minutes, I was thoroughly liking Bodyguard :-|  ",now CONFESSION year reached final 20 minutes thoroughly liking Bodyguard :|
2362,joy,"Spent last hour walking round Lincoln Christmas Market, now time to drive home !! ",Spent hour walking round Lincoln Christmas Market time drive home 
2363,fear,"I have a that one day I'm going to sit to pee and something's going to bite my ass, or worse my twat. #anaconda #fuckthatshit",day Im going sit pee somethings going bite ass worse twat #anaconda #fuckthatshit
2364,neutral, Was he upset when you told him you had to leave this weekend ? ,upset told leave weekend 
2365,surprise,i rebooked my ticket to home and will arrive 2 days earlier ... :),rebooked ticket home arrive 2 days earlier  :)
2366,joy,I love my baby girl :) she is so precious to me  ,love baby girl :) precious
2367,anger,Lorraine Kelly eskzjh akjbg selkwkfja ipf eh  ,Lorraine Kelly eskzjh akjbg selkwkfja ipf eh
2368,anger,my heart is racing and I'm shaking ,heart racing Im shaking
2369,disgust,What is Chris brown thinkin with blonde hair.... #eminemlookalike,Chris brown thinkin blonde hair #eminemlookalike
2370,joy," Yeah , I will be there . ",Yeah  
2371,surprise,really wish that you wouldnt have made me look dumb by saying you were so diff from all other guys.. but you did,wish wouldnt look dumb saying diff guys
2372,anger,That moment when u're in a public transport &amp; ur mp3 player isn't functioning. ,moment ure public transport amp ur mp3 player functioning
2373,anger,I felt angry when I saw on T.V the last slaughter of negroes in South Africa.,felt angry saw TV slaughter negroes South Africa
2374,fear,Somebody told her friend that she would hit me wherever we would meet.,Somebody told friend hit meet
2375,surprise,"Hahaha RT @HopeyPhly: We call it Rape...They call it suprise Sex,Really?!!! Ya neh 0_o",Hahaha RT   RapeThey suprise SexReally Ya neh 0o
2376,sadness,@Nondu_M Cabanga nje ukuthi uKeith Sweat will be performing alongside Ringo and SA jazz artists in semi-towns! ,  Cabanga nje ukuthi uKeith Sweat performing alongside Ringo SA jazz artists semitowns
2377,joy,As it's the weekend I'm taking this 11.30 slump and crawling back into my bed rather than pushing through it. ,weekend Im taking 1130 slump crawling bed pushing it
2378,neutral, Where ? ,
2379,joy,Got a full day today! -_-,Got day today 
2380,fear,"So my @OfficialPWG pic flood will start in 5 minutes. If you don't like wrestling or a fan of my photography,  you were warned",  pic flood start 5 minutes like wrestling fan photography warned
2381,surprise,What tonight's class was supposed to be: professor swap. What it really was: pop quiz. #happyholiday,tonights class supposed be: professor swap was: pop quiz #happyholiday
2382,fear,Ran into a parking car on a bicycle.,Ran parking car bicycle
2383,neutral, Yes . ,Yes 
2384,joy,"However , in 1878 , deaf education in Greenock faced a crisis because there was no-one able to continue to teach the children , and one parent was not happy about his child being taught in sign language . ", 1878  deaf education Greenock faced crisis noone able continue teach children  parent happy child taught sign language 
2385,anger,When after a lot of provocation my child threw a plate on the floor.,lot provocation child threw plate floor
2386,sadness,Remembering the moment when i started twitter and said how the fuck do i get in lists?!?!? and i still think that till this day.... ,Remembering moment started twitter said fuck lists think till day
2387,surprise,Aww my babe wants to know what his huge present is but why ain't he patient lol! :-.),Aww babe wants know huge present aint patient lol :)
2388,fear,` You can imagine our horror at finding a false ceiling in a secure establishment and ducts like this . , imagine horror finding false ceiling secure establishment ducts like 
2389,joy,@keriaann08 that is great sis. I am glad you are truly happy. ,  great sis glad truly happy
2390,sadness,"@KundariyaHardik haha nah man. I'll miss that lab actually, and last clad with ya ",  haha nah man Ill miss lab actually clad ya
2391,joy,I want to dedicate my life to making people laugh and smile. ,want dedicate life making people laugh smile
2392,surprise,"wishing i could be relaxing and doing fun things like all my friends, but i'm working on a paper in gracie's #ihavenolife",wishing relaxing fun things like friends im working paper gracies #ihavenolife
2393,joy,This is gonna be a long night !!Can't wait for this week to be over :) at least there is only 12 days of school left !!!!! #MOTIVATION,gonna long night Cant wait week :) 12 days school left  #MOTIVATION
2394,anger, it sounds like any job will be better than the one you have now ! ,sounds like job better 
2395,fear,To live in is a life half-lived.  Spanish Proverb,live life halflived Spanish Proverb
2396,joy,"@TheBodyShopUK having a date night in with my boyfriend. Gorgeous dinner, glass of wine and a snuggle watching a good dvd :-)",  date night boyfriend Gorgeous dinner glass wine snuggle watching good dvd :)
2397,joy,Amid intense media excitement and stringent security Mandela was given a tumultuous ticker-tape welcome in New York where he received the freedom of the city . ,Amid intense media excitement stringent security Mandela given tumultuous tickertape welcome New York received freedom city 
2398,joy,"six page paper, presentation, and pike banner all due tomorrow #busybusy ",page paper presentation pike banner tomorrow #busybusy
2399,disgust," I have to say  you are a nasty, greedy arsehole without conscience - how many dead and suffering from Bhopal? ",nasty greedy arsehole conscience  dead suffering Bhopal
2400,joy,Looks like the laundry fairy hasn't come yet again this week .. I know what I'll be doing later!! ,Looks like laundry fairy come week  know Ill later
2401,anger,Of course Ed was really peeved about how Martinez handled the whole Harley business . ,course Ed peeved Martinez handled Harley business 
2402,joy,I felt joy when I heard over the radio that I had been successful in my Primary School Leaving Certificate Examination and was selected for Secondary School.,felt joy heard radio successful Primary School Leaving Certificate Examination selected Secondary School
2403,joy,Emmet Otters Jug Band Christmas is on Netflix streaming. ,Emmet Otters Jug Band Christmas Netflix streaming
2404,joy,Worst week ever! And tomorrow is Monday ,Worst week ever tomorrow Monday
2405,joy,@Hacienda. Top of the hacienda tree.division.,  hacienda treedivision
2406,sadness,"@DatYngCal ew, i was only busy for like an hour. you'll be busy for like 4... ",  ew busy like hour busy like 4
2407,neutral, No joke ! ,joke 
2408,joy,"Sure mom i would love to clean the fuckin house, wasnt planning on going anywhere i was just walking to mar car for fuckin excercise ",Sure mom love clean fuckin house wasnt planning going walking mar car fuckin excercise
2409,joy,my mom is trying to be a photographer and take pictures with us cause it's snowing. #thistooshallfail,mom trying photographer pictures cause snowing #thistooshallfail
2410,anger,Why am I sitting in the lincoln tunnel after midnite? There should be no traffic right now. ,sitting lincoln tunnel midnite traffic right now
2411,joy,christmas party with the family ,christmas party family
2412,surprise,Swaggggiiinnnn it at out wit tha boo...he aint even know I had rhythm like dat ,Swaggggiiinnnn wit tha boohe aint know rhythm like dat
2413,anger,"In 1982, I was annoyed at an uncle who was drunk and was beating up his old father.  He claimed that the father was responsible for his guardian's failure.",1982 annoyed uncle drunk beating old father claimed father responsible guardians failure
2414,joy,Hem your  with  so they won't unravel.~Unknown &   #faith,Hem unravel~Unknown  #faith
2415,fear,"John 's father came down from Cheltenham to see her , grieving and concerned for her future . ",John s father came Cheltenham  grieving concerned future 
2416,joy,I woke up this morning with in my heart &amp; a #smile on my face. What an #AMAZING #God we serve!,woke morning heart amp #smile face #AMAZING #God serve
2417,sadness,guess who doesn't have her floral design course.  this girl.  ,guess floral design course girl
2418,sadness,that depressing moment when you drop your candy cane &amp; it shatters into 39975216900076542 billion pieces :( ,depressing moment drop candy cane amp shatters 39975216900076542 billion pieces :(
2419,surprise,"Vanochtend voorgesprek presentatie van event gehad, en nu om de tafel voor format dinershow met klant! Daarna Sintinkopen doen... ",Vanochtend voorgesprek presentatie van event gehad en nu om de tafel voor format dinershow met klant Daarna Sintinkopen doen
2420,fear,"When I did not get admission in M.Sc after my B.Sc, I felt really bad.  When I started my journey to Bombay, after having accepted my uncle's offer to come to Bombay, I was afraid, wondering if I  would succeed or not. ",admission MSc BSc felt bad started journey Bombay accepted uncles offer come Bombay afraid wondering succeed not
2421,fear,"Fights that I see in the middle of the street, robberies, fear of darkness when going home.",Fights middle street robberies fear darkness going home
2422,anger,He was furious with me for ringing him . ,furious ringing 
2423,fear,I'll get my result of high school. ,Ill result high school
2424,fear,I had a car accident.,car accident
2425,sadness, Bummer . I guess we're both out of luck . ,Bummer  guess were luck 
2426,joy,Have you seen that house ? ,seen house 
2427,joy,Two finals next week &amp; back to back! Cover letters all due next week #morejoy  1st round interview next week #superjoy,finals week amp back Cover letters week #morejoy 1st round interview week #superjoy
2428,sadness,"I grabbed some money today in case I went to Starfucks or something before rehearsal. Then I realized, no more rehearsal. ",grabbed money today case went Starfucks rehearsal realized rehearsal
2429,sadness,Both Mr Pitman Senior and Junior were reps who grew progressively despondent over the standard of rooms and services they encountered on their travels . ,Mr Pitman Senior Junior reps grew progressively despondent standard rooms services encountered travels 
2430,fear,"Nothing could wash away the beastliness of that house or the horror of the sight of Phyllis Henley 's body , but he felt the need to try . ",wash away beastliness house horror sight Phyllis Henley s body  felt need try 
2431,fear,I'm ready to scour our southern brother for an  but a outweighs my #confidence. Publicly I admit; I'm afraid of #rejection.,Im ready scour southern brother outweighs #confidence Publicly admit Im afraid #rejection
2432,disgust,Just watched a grown man belittle his mother in public ,watched grown man belittle mother public
2433,joy,“@CalebSmith41: Money can't buy joy” Only peace of mind! ,“  Money cant buy joy” peace mind
2434,sadness, This is a pity ! ,pity 
2435,fear,@yasaikatsucurry @Declasm i just narrowly escaped being left solo with 2 children ,    narrowly escaped left solo 2 children
2436,fear, is like the red headed male  step-child of who ain't come out the closet and got a black sheep for a pet.,like red headed male stepchild aint come closet got black sheep pet
2437,neutral, Fine too . ,Fine 
2438,surprise,@ayumamama i was going back to brown....that didn't happen! ;) ,  going brownthat happen )
2439,joy,Christmas lights make me happy! ,Christmas lights happy
2440,sadness,"&quot;@JenBunny1985: I have nothing against ugly people, just ugly people who call other people ugly...that's just ridiculous&quot;&lt;",quot  ugly people ugly people people uglythats ridiculousquotlt
2441,surprise,today could be the day...love that early :) :),today daylove early :) :)
2442,joy,Better shower and sleep.. Poms competition at Milwaukee tomorrow! Gotta be at school at 6:30 ,Better shower sleep Poms competition Milwaukee tomorrow Gotta school 6:30
2443,joy,"` They are naturally excited about getting the championship back after 33 years , "" he said . ", naturally excited getting championship 33 years   said 
2444,surprise,Oh hey I just got a magazine in they mall they I signed up to start getting... Last fall! ,Oh hey got magazine mall signed start getting fall
2445,surprise,Currently on my way back home frm doin A lil Shopn for my Wife @dreadhead1384 Honey:),Currently way home frm doin lil Shopn Wife   Honey:)
2446,joy,"@fev_rides_again And week, for you likewise! My 2b in touch!",  week likewise 2b touch
2447,joy,Ok done some homework...now of to the gym and im returning to homework and cleaning ,Ok homeworknow gym im returning homework cleaning
2448,fear,"Wahou ! Une escorte de gendarmerie pour deux camions avec marqué 'Radioactive' dessus, à fond dans les bouchons bordelais ... ",Wahou  Une escorte de gendarmerie pour deux camions avec marqué Radioactive dessus à fond dans les bouchons bordelais 
2449,anger,"` Because she still sounded mad at me , and I thought you might try to dissuade me . ", sounded mad  thought try dissuade 
2450,joy, America ? Did you get admit to MIT ? ,America  admit MIT 
2451,surprise,"Pasta is a vegetable, right??!! Well, at least according to the can of my veggie soup it is! ",Pasta vegetable right Well according veggie soup is
2452,fear,factor is my show ohwere do i start my dad&lt;3 got me hip to that show they be doing sum crazy shit for money ode shit mane&lt;3 eaten bugs,factor ohwere start dadlt3 got hip sum crazy shit money ode shit manelt3 eaten bugs
2453,neutral, As long as it doesn't take too long . ,long long 
2454,anger,It smells like an ashtray in here ! ,smells like ashtray 
2455,surprise,Traffic jam of Bandra-Worli Sea link from Bandra to Worli. ,Traffic jam BandraWorli Sea link Bandra Worli
2456,sadness,When a close friend of mine who was with me in first year could not make it to the second year.,close friend year second year
2457,joy,I gottaa do my math homework before next period AND get an essay done by tomorrrow. -.- plus I have work tonight,gottaa math homework period essay tomorrrow  plus work tonight
2458,disgust, lawyer &quot;I believe in his innocence.&quot; What about the innocence of his victims? #PennState,lawyer quotI believe innocencequot innocence victims #PennState
2459,neutral,It seems that you get antsy when you hear I praise another guy . ,antsy hear praise guy 
2460,surprise,"I just rec'd the 1st show name for @LancasterPAC 2012/13 Season! It's for me to know, and you to find out... It's a ",recd 1st   2012/13 Season know find out
2461,neutral," No , never . ", 
2462,surprise,@amberschwen15 I would feel obligated if you knew when it happened. It's all about the element of ,  feel obligated knew happened element
2463,joy,Get all the way to dyfatty &amp; only THEN do I get a tx that the kids not in school today. Niceeee oneeee! Have to drive through town now ,way dyfatty amp tx kids school today Niceeee oneeee drive town
2464,fear,the way tears r rollin down ryt nw its makin me feel so unsafe..sucha cruel world..hearin this stuff jus scares the hell outta me! ,way tears r rollin ryt nw makin feel unsafesucha cruel worldhearin stuff jus scares hell outta me
2465,surprise,My daughter said I really want to go to  I said Oh really.. she don't know I got front row tickets already ,daughter said want said Oh really know got row tickets
2466,joy,Buying stuff in batman boxers and watching everyone around me stare at my crotch.. ,Buying stuff batman boxers watching stare crotch
2467,anger, We'll see how much fun it is after they take all your money ! ! ,Well fun money  
2468,joy,@Dawnietee swimming in morning. Little one till 1400 then off to watch footy with some mates. Home n bed work 0330 Sunday. u? X,  swimming morning Little till 1400 watch footy mates Home n bed work 0330 Sunday u X
2469,joy,I just found out Mumia Abu-Jamal won't get the death penalty! ,found Mumia AbuJamal death penalty
2470,anger,"And then of course , silly girl , she went and told him -- he was so livid he wouldn't have nothing more to do with her . "" ",course  silly girl  went told  livid  
2471,joy,"The of running into 1 of my former students and knowing they remember you, and are making a difference in life #happythanksgiving #nyc",running 1 students knowing remember you making difference life #happythanksgiving #nyc
2472,surprise,Een teleurgesteld mannetje thuis. Het kind dat hem had verpakte het cadeautje slechts in een doos. #hartzeer,Een teleurgesteld mannetje thuis Het kind dat hem verpakte het cadeautje slechts een doos #hartzeer
2473,sadness," My colleagues quickly get promotions , while I always get sidelined . I don't know what to do anymore . ",colleagues quickly promotions  sidelined  know anymore 
2474,joy,"Pleasure can be no more than a gourmet 's appreciation for delicacies , whereas a happy person can readily settle for a much simpler diet . ",Pleasure gourmet s appreciation delicacies  happy person readily settle simpler diet 
2475,anger,I'm gonna have a heart attack and die young prolly.  #Dispatcher,Im gonna heart attack die young prolly #Dispatcher
2476,sadness,"I Cant Wake Up Early For School , But When I Dont Have School , Im Up ",Cant Wake Early School  Dont School  Im
2477,joy,Teaching my dad how to use an ipad. It's like watching a caveman that discovered fire ,Teaching dad use ipad like watching caveman discovered fire
2478,sadness,I feel sadness from the fact that I was not born with a better appearance.,feel sadness fact born better appearance
2479,sadness,There is no milk and I wanna cup of tea :( ,milk wanna cup tea :(
2480,joy,Same headache booming in my head. ,headache booming head
2481,anger,Heart full of  full of  of &#xA;Held in my #Chest,Heart #xAHeld #Chest
2482,neutral," Well , who all is going to be there ? ", going 
2483,surprise,Bunny is moving about hippity hop! But when will this new bundle of joy come out? :D  #Decemberbaby :),Bunny moving hippity hop new bundle joy come out :D #Decemberbaby :)
2484,sadness,When my ex-girlfriend and I discovered that there was a certain risk of her being pregnant.,exgirlfriend discovered certain risk pregnant
2485,joy,"Make the shuttlecock fly away pals, let's work out ! Friday's always pleasant and healthful. ",shuttlecock fly away pals lets work  Fridays pleasant healthful
2486,joy,Lol my lil sis whoop that boy ass lol,Lol lil sis whoop boy ass lol
2487,anger,He felt their resentful eyes burning the nape of his neck . ,felt resentful eyes burning nape neck 
2488,joy,When I talk to my friends.,talk friends
2489,anger,The newcomers feel cold shouldered by the local population on occasions and become resentful of their almost tribal clannishness . ,newcomers feel cold shouldered local population occasions resentful tribal clannishness 
2490,fear,I'm scared to love because I'm scared you'll leave ,Im scared love Im scared leave
2491,sadness,Not doing well in an exam.,exam
2492,joy,@emmado89 was this for me?? Haha next weekend? Think Lee out all weekend so  yet again ,  me Haha weekend Think Lee weekend
2493,sadness,My brothers making fun of my music :(,brothers making fun music :(
2494,neutral," You have 16 balls on the table , 7 solid colored , 7 striped colored , a black 8 ball , and the white ball . ",16 balls table  7 solid colored  7 striped colored  black 8 ball  white ball 
2495,neutral, Salesman ? ,Salesman 
2496,anger,"` Nevil does n't work for me , "" he snapped , truly indignant . ", Nevil nt work   snapped  truly indignant 
2497,neutral, Exactly . ,Exactly 
2498,sadness,Taheb 's face became sad . ,Taheb s face sad 
2499,joy,this wetness increases my chances of slipping and busting my shit and making a fool of myself..  ,wetness increases chances slipping busting shit making fool myself
2500,disgust,And why is this white girl talkin like a hood rar? ,white girl talkin like hood rar
2501,anger,"His eyes narrowed , and she felt a flicker of annoyance , this time aimed at herself . ",eyes narrowed  felt flicker annoyance  time aimed 
2502,joy,What my Sunday consists of is watching football and cleaning the house before my parents come home. ,Sunday consists watching football cleaning house parents come home
2503,anger,"At an undeserved attitude toward a man, when human personality is not treated decently.",undeserved attitude man human personality treated decently
2504,fear,"N-SULATE  You can be the protecting cushion between those you lead, and the forces of &amp; failure. #churchspeaker  #fb #dad",NSULATE protecting cushion lead forces amp failure #churchspeaker #fb #dad
2505,joy,what a nice garden ! Look at these tulips ! ,nice garden  Look tulips 
2506,joy,"Good thrift store finds, lunch in Old Palm, made kugel, pecan pie, pumpkin muffins, and a rue with the fan for tomorrow.  #fb",Good thrift store finds lunch Old Palm kugel pecan pie pumpkin muffins rue fan tomorrow #fb
2507,surprise,Thuis na een leuke avond. Mijn super mooie adidas horloge gekregen en de dvdbox van gooische vrouwen #top,Thuis na een leuke avond Mijn super mooie adidas horloge gekregen en de dvdbox van gooische vrouwen #top
2508,sadness,Come visit me at Cerritos mall. Here all night by myself ,Come visit Cerritos mall night
2509,fear,Someone must have buried them when they were too frightened to hand them in to the police station . ,buried frightened hand police station 
2510,anger,One career wife spoke about her exasperation when her husband listened to her with half an ear as he watched television . ,career wife spoke exasperation husband listened half ear watched television 
2511,anger,No  tonight because of shitty england playing a match. #hate,tonight shitty england playing match #hate
2512,neutral," OK , next ? ",OK  
2513,fear,She 'd felt quite frightened and had n't accepted the invitation . ,d felt frightened nt accepted invitation 
2514,surprise,office  today  who got who? Presents next Monday ,office today got who Presents Monday
2515,surprise,The bewilderment of the child Nizan can not be overstated . ,bewilderment child Nizan overstated 
2516,surprise,ON MY WAY HOME NOW!!! :D  Let the 3hr trip begin now :),WAY HOME NOW :D Let 3hr trip begin :)
2517,joy,"Seems I discovered a way to consistently crash Visual Studio 2010's web server, &quot;WebDev.WebServer40.exe has stopped working&quot;. ",discovered way consistently crash Visual Studio 2010s web server quotWebDevWebServer40exe stopped workingquot
2518,fear, It's not a cut . It's a gash ! It's bigger than a cut ! Ah ! I need a doctor . ,cut  gash  bigger cut  Ah  need doctor 
2519,fear,"He had thus been forced to hide his ignorance , which ill became a bohemian poet , when the trial burst upon a horrified society . ",forced hide ignorance  ill bohemian poet  trial burst horrified society 
2520,anger,raaah it's not even december yet but i've already got to put up with the radio playing All I Want For Christmas Is You? ,raaah december ive got radio playing Want Christmas You
2521,surprise,@gracehinckley hahahahaha I didn't know Asian girls could lift stuff that big. ,  hahahahaha know Asian girls lift stuff big
2522,surprise,Late Night Phone Calls #howlovely,Late Night Phone Calls #howlovely
2523,sadness,I wish I went to the Watch The Throne concert ,wish went Watch Throne concert
2524,sadness,"My little cat which I had raised all by myself, hanged itself when playing in the garden.",little cat raised myself hanged playing garden
2525,neutral, It sure is . ,sure 
2526,anger, I know ! But it's really important to her ! Her whole life could be ruined by this man ! ,know  important  life ruined man 
2527,neutral, It's a very popular game in America . ,popular game America 
2528,surprise,The look on people's face when they come 2 place of employment &amp; discover I'm not white like my voice sounds&gt;&gt;&gt;&gt;&gt;&gt;&gt;     #FooledYou,look peoples face come 2 place employment amp discover Im white like voice soundsgtgtgtgtgtgtgt #FooledYou
2529,neutral, that ’ s true . I ’ m wondering did you learn anything from the job ? ,’ true  ’ wondering learn job 
2530,sadness,"@ManMadeMoon agree with you about doubting the benefits of 3d. Good for making money, but ruins the experience of the film for me ",  agree doubting benefits 3d Good making money ruins experience film
2531,joy,Well I guess I should study my ten pages of science notes. .,guess study pages science notes 
2532,sadness,"Damn! Loved that place, too! RT @GailSimone: Check News.change.org for the full scoop on Chick-fil-a's homophobic official stance.",Damn Loved place too RT   Check Newschangeorg scoop Chickfilas homophobic official stance
2533,fear,"&quot;Seek not happiness too greedily, and be not fearful of happiness.&quot; ~ Lao tzu   ",quotSeek happiness greedily fearful happinessquot ~ Lao tzu
2534,fear, to perform You're Gonna Go Far Kid by Offspring on my next tour! having regrets #TWLOHA @TWLOHA,perform Gonna Far Kid Offspring tour regrets #TWLOHA  
2535,anger, Quiet everybody ! ,Quiet everybody 
2536,fear,"She don't like salami, she don't want pastrami...she just wants my beef boloney. BEEF BEEF BEEF, beef boloney. ",like salami want pastramishe wants beef boloney BEEF BEEF BEEF beef boloney
2537,fear,have to drink water so that the kidneys are not sick !! :(,drink water kidneys sick  :(
2538,surprise,happy sweet sixteen @katieanne1210 love you! ,happy sweet sixteen   love you
2539,anger,"Stupid girl , making me spend so much money , now I have to get it from the ATM ... ",Stupid girl  making spend money  ATM 
2540,joy,"New job, Orientation Boring...Good changes are starting to happen and I'm proud of myself for making it through most of the tough times ",New job Orientation BoringGood changes starting happen Im proud making tough times
2541,anger,Tak payah nak love me long time sangat lah . Bontot aku basah sampai dekat SSP kot and I was shivering the whole time in the car :| ,Tak payah nak love long time sangat lah  Bontot aku basah sampai dekat SSP kot shivering time car :|
2542,anger,people who don't know the meaning of ignorant dhjnerwngvreiuovhuwbfrfgiodsj ,people know meaning ignorant dhjnerwngvreiuovhuwbfrfgiodsj
2543,anger,My boy-friend had promised me to come an 10 a.m. - he was 3 hours late.,boyfriend promised come 10 am  3 hours late
2544,joy,Stuffing my face before the drive and the awkward family mingling We're not even American....,Stuffing face drive awkward family mingling Were American
2545,surprise,@CCFCtweetleague I predict 2-1 to the Super Sky Blues for Hull on Saturday ,  predict 21 Super Sky Blues Hull Saturday
2546,fear,This dentist is going to destroy my face. ,dentist going destroy face
2547,joy," Oh , hi ! I'm Barbara Johnson . Nice to meet you . ",Oh  hi  Im Barbara Johnson  Nice meet 
2548,sadness,How sad am I that I'm sitting in the food court alone eating food from home. ,sad Im sitting food court eating food home
2549,anger,"When they got to the florist and Georg saw his father emerging he really was cross , so cross he leapt out from the driver 's seat and intercepted Willi on the pavement . ",got florist Georg saw father emerging cross  cross leapt driver s seat intercepted Willi pavement 
2550,neutral,Who is it ? ,
2551,sadness,Always tired in winter.. Must be the darkness ,tired winter darkness
2552,joy,Early morning  silver-white w/emerald thru you 12X-build pillar up/down/around-walk as yr pillar-breathe  ,Early morning silverwhite w/emerald 12Xbuild pillar up/down/aroundwalk yr pillarbreathe
2553,neutral, You have to go and fix it . ,fix 
2554,fear,"“@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less”",“  afraid tomorrow seen yesterday love today #less”
2555,anger,Bitch if ur forcing me 2 be somewhere don't expect me 2 be happy!! &gt;:/ ,Bitch ur forcing 2 expect 2 happy gt:/
2556,anger,"I can deal with and #frustration, but #hatred is of  another dimension and scares me so. Where  to find the source? #racism #violence",deal #frustration #hatred dimension scares so find source #racism #violence
2557,neutral," Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . ", week invited dinner  husband problem food  listened  like fed old meat rotten vegetables  Theres 
2558,surprise,@and_tuts try's to turn it out in a bathro during a commercial at a steelers bar. There is now a huge line. ,  trys turn bathro commercial steelers bar huge line
2559,surprise,@megfellS hahahah yes jeff said he left those behind for you  there was half a sausage too but we trashed it #sorry,  hahahah yes jeff said left half sausage trashed #sorry
2560,joy,Slow cooker sausage casserole for dinner then choc fondue for pudding with catch up telly. And bonus I have a husband off work tmrw ? ,Slow cooker sausage casserole dinner choc fondue pudding catch telly bonus husband work tmrw 
2561,joy,Quarter Final game against BAC. Let's win this  :) @kelseypatootie @YouGotLeonard @FranchizNatal @OMDree @SAMshine3 #Pao,Quarter Final game BAC Lets win :)           #Pao
2562,anger, I think it's because of your bad habits ! ,think bad habits 
2563,fear,@RevRunWisdom dont things just #fear what you didnt do and make sure you do them the next time you can.,  dont things #fear didnt sure time can
2564,neutral, Fine . ,Fine 
2565,sadness,When I heard about the death of my aunt.,heard death aunt
2566,neutral," Oh , I see . ",Oh  
2567,fear,I was on this amusement park ride at Marriots Great America. It went way up in the air and then around and around. Heights are not my favorite spots in life.,amusement park ride Marriots Great America went way air around Heights favorite spots life
2568,sadness,Missing my flat tummy ): its always super flat in the morning and then in the evening its like hugee :/ ,Missing flat tummy ): super flat morning evening like hugee :/
2569,joy,Another long day of work tomorrow ,long day work tomorrow
2570,sadness,When my mother and father separated (it was a brief separation and they are together now).,mother father separated (it brief separation now)
2571,sadness,He has a doggy cold:( had to leave him at the vet! RT @Brandon_J_: @skyemtaylor oh no what's wrong?,doggy cold:( leave vet RT     oh whats wrong
2572,sadness,I'm so upset Clemson won that I will cry myself to sleep tonight :'(  ,Im upset Clemson cry sleep tonight :(
